Tractor Model,Installed On,installation_state,installation_district
MAHINDRA ARJUN Ultra 605 DI-57HP,2019-10-12T12:49:38.554Z,Uttar Pradesh,Aligarh
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-10-14T09:15:07.407Z,Uttar Pradesh,Aligarh
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-10-14T11:24:34.931Z,Uttar Pradesh,Aligarh
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-11-26T06:20:57.740Z,Uttar Pradesh,Aligarh
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2020-01-09T09:40:19.475Z,Uttar Pradesh,Aligarh
MAHINDRA BHOOMIPUTRA 275 DI TU-39 HP,2020-01-09T11:07:11.596Z,Uttar Pradesh,Aligarh
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-10-14T09:45:28.816Z,Uttar Pradesh,Aligarh
MAHINDRA JIVO 225 DI-22 HP,2019-11-29T07:15:35.854Z,Uttar Pradesh,Aligarh
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-12-04T09:11:48.752Z,Uttar Pradesh,Aligarh
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-12-06T11:48:52.678Z,Uttar Pradesh,Aligarh
MAHINDRA JIVO 225 DI-22 HP,2020-02-01T08:40:06.778Z,Uttar Pradesh,Aligarh
  ,2020-02-03T11:06:28.638Z,Uttar Pradesh,Aligarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-18T10:06:25.624Z,Uttar Pradesh,Allahabad
MAHINDRA BHOOMIPUTRA 265 DI-33 HP,2019-10-23T06:59:38.748Z,Uttar Pradesh,Allahabad
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2019-11-19T07:28:50.825Z,Uttar Pradesh,Allahabad
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-12-14T05:10:16.606Z,Uttar Pradesh,Allahabad
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2020-02-10T10:58:50.789Z,Uttar Pradesh,Jyotiba Phule Nagar
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2020-02-10T09:42:46.705Z,Uttar Pradesh,Jyotiba Phule Nagar
MAHINDRA BHOOMIPUTRA 575 DI-42 HP,2019-11-14T07:26:11.491Z,Uttar Pradesh,Auraiya
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-10T09:54:47.975Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 575 DI-45 HP,2019-10-16T06:23:20.516Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-21T05:31:00.398Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-22T03:34:17.623Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 275 DI-35 HP,2019-10-22T04:16:51.713Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-22T05:32:30.037Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 575 DI-45 HP,2019-10-22T04:44:06.655Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-23T10:00:43.432Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 415 DI-40 HP,2019-10-23T09:44:44.923Z,Uttar Pradesh,Azamgarh
MAHINDRA BHOOMIPUTRA 275 DI TU-39 HP,2019-10-28T10:10:56.736Z,Uttar Pradesh,Azamgarh
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-11-09T07:58:58.897Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-11-11T08:56:39.366Z,Uttar Pradesh,Azamgarh
  ,2019-11-12T07:00:38.000Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 575 DI-45 HP,2019-11-17T06:28:48.023Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 575 DI-45 HP,2019-11-16T08:41:20.630Z,Uttar Pradesh,Azamgarh
MAHINDRA BHOOMIPUTRA 275 DI TU-39 HP,2019-11-21T08:34:54.297Z,Uttar Pradesh,Azamgarh
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-11-16T11:04:34.318Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-08T09:29:00.252Z,Uttar Pradesh,Azamgarh
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-10-16T07:09:08.794Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 575 DI-45 HP,2019-11-29T09:13:04.893Z,Uttar Pradesh,Azamgarh
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2020-01-01T09:19:30.202Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-01-17T07:19:02.327Z,Uttar Pradesh,Azamgarh
MAHINDRA YUVO 275 DI-35 HP,2020-01-04T05:37:57.562Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-02-20T06:57:09.319Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-02-20T07:57:28.164Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-02-21T11:35:18.841Z,Uttar Pradesh,Azamgarh
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-03-12T08:23:59.319Z,Uttar Pradesh,Azamgarh
  ,2019-12-16T09:45:51.574Z,Uttar Pradesh,Baghpat
