day,device_fk_id,n_trip_on,start_lat,start_lon
16-03-2020,2565,21068,20.35631943,73.8685379
17-03-2020,3342,2971,26.60446739,82.27428436
26-03-2020,5488,416,28.78890419,77.39138031
25-03-2020,3443,13126,29.52639961,78.38804626
27-02-2020,5442,140,23.54389191,76.86769104
23-03-2020,2403,2402,26.39604568,81.92843628
02-03-2020,4830,4138,28.20703506,81.11702728
08-03-2020,4798,17480,18.22151566,77.05873871
19-02-2020,4144,8952,27.98461533,77.97732544
09-03-2020,5370,516,26.06804276,83.06336212
25-03-2020,5380,2893,24.5961628,72.92763519
18-02-2020,4288,2735,19.7826767,75.16730499
20-03-2020,4700,12006,23.59659767,74.9879837
20-03-2020,1026,25754,18.10882378,73.94799805
19-02-2020,3842,10797,27.21128273,81.67774963
24-03-2020,2403,6370,26.39589119,81.92888641
25-03-2020,206,2354,18.44664955,74.11301422
25-02-2020,2182,203,26.93455887,81.99913788
23-03-2020,1155,202,30.38885498,76.51872253
05-03-2020,2430,8304,27.78142929,78.55677795
23-03-2020,2413,10129,29.58454132,78.45154572
24-03-2020,5313,15621,17.68912697,75.84488678
28-03-2020,206,3858,18.44684601,74.11308289
25-02-2020,3379,7809,30.44614983,77.79145813
14-03-2020,4992,11238,25.16718292,75.91461945
25-03-2020,2392,2741,26.69794083,83.70753479
28-03-2020,2359,7032,27.6984787,81.53817749
19-03-2020,2159,12004,27.51720047,78.71879578
21-03-2020,5227,901,28.96463585,80.05498505
01-03-2020,4938,1551,27.74875832,78.50203705
27-03-2020,2553,2728,27.16107941,78.92721558
23-03-2020,5227,146,28.96496201,80.05460358
04-03-2020,3588,2255,27.7740593,77.72031403
27-02-2020,4146,12833,19.28699684,75.28302765
12-03-2020,1127,16423,16.95454788,74.44348907
17-03-2020,2162,9386,28.61672783,77.47822571
24-02-2020,1026,16517,18.12123489,73.95574188
16-03-2020,3139,894,18.76381111,74.12339783
02-03-2020,3163,149,28.7160759,77.42862701
20-02-2020,3848,8847,27.19312286,81.84620667
29-02-2020,5323,958,28.94726944,79.36899567
01-03-2020,1047,2871,18.18458748,79.05903625
07-03-2020,5415,1871,25.4975872,81.6466217
21-02-2020,3760,13914,27.10762596,79.10085297
14-03-2020,5503,2313,25.69065285,83.29954529
27-02-2020,4208,10173,26.41393661,79.79236603
03-03-2020,3821,2194,28.99855232,77.25055695
07-03-2020,2374,5969,30.27150536,77.64298248
08-03-2020,5297,4138,16.91306686,74.22959137
27-02-2020,4999,257,18.59544182,74.20398712
12-03-2020,4774,19881,17.02962112,74.59683228
29-02-2020,2408,722,28.33203125,79.49732971
27-02-2020,4716,6927,19.22794533,74.99756622
08-03-2020,4545,12094,16.82198715,74.39583588
23-02-2020,3782,6847,28.20700645,81.11695099
26-03-2020,2774,12270,18.81280518,73.86174011
24-02-2020,3448,9631,26.31071854,81.86641693
20-02-2020,2075,3883,26.17930031,83.01407623
29-02-2020,4848,516,23.52033615,76.42055511
24-02-2020,5276,365,18.51788712,74.47974396
20-02-2020,5365,6998,25.34807968,82.28940582
24-02-2020,3774,1987,27.91780281,77.27566528
20-02-2020,5027,6246,19.27624321,75.29243469
17-03-2020,4995,7801,19.43204308,74.73863983
08-03-2020,3805,4530,29.20248985,77.32796478
19-03-2020,5522,3862,24.20795822,83.20361328
24-02-2020,3464,3838,28.68319893,77.4927063
24-02-2020,5145,4208,29.0595417,77.68461609
27-02-2020,3932,628,25.39122772,81.88838959
27-02-2020,2169,9512,29.06179619,77.56383514
07-03-2020,5447,161,21.94413567,79.7180481
18-02-2020,4838,5346,16.9314003,74.28946686
12-03-2020,5339,12861,25.93201447,79.16190338
21-02-2020,4177,30812,19.26901627,75.28379822
22-02-2020,1210,16316,12.09744644,76.5582962
28-02-2020,2028,11086,26.86120605,84.04184723
29-02-2020,3960,11045,27.86934853,78.07772064
24-02-2020,3396,14722,25.85802078,80.68317413
27-02-2020,5133,3882,20.24416733,75.13288879
29-02-2020,3937,2342,30.44614601,77.79586029
17-02-2020,4198,7269,26.5974617,79.78672791
20-02-2020,4606,2874,19.75106812,75.51281738
27-02-2020,5486,1999,12.55663013,76.31674194
27-02-2020,3397,1064,26.21353722,79.82835388
