index,st_nm,count
0,ANDAMAN & NICOBAR,0
1,ARUNACHAL PRADESH,0
2,ASSAM,0
3,BIHAR,3
4,CHANDIGARH,0
5,CHHATTISGARH,9
6,DADRA & NAGAR HAVE,0
7,DAMAN & DIU,0
8,GOA,0
9,GUJARAT,0
10,HARYANA,0
11,HIMACHAL PRADESH,2
12,JAMMU & KASHMIR,90
13,JHARKHAND,2
14,KARNATAKA,3
15,KERALA,0
16,LAKSHADWEEP,0
17,MADHYA PRADESH,16
18,MAHARASHTRA,115
19,MANIPUR,0
20,MEGHALAYA,0
21,MIZORAM,0
22,NAGALAND,0
23,DELHI,0
24,PUDUCHERRY,0
25,PUNJAB,8
26,RAJASTHAN,16
27,SIKKIM,0
28,TAMIL NADU,1
29,TELANGANA,0
30,TRIPURA,0
31,UTTAR PRADESH,463
32,UTTARAKHAND,30
33,WEST BENGAL,0
34,ODISHA,1
35,ANDHRA PRADESH,0
36,LADAKH,0
